#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
0.899999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.909999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.919999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.929999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.939999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.949999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.959999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.969999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.979999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.989999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
0.999999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.009999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.019999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.029999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.039999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.049999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.059999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.069999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.079999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.089999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.099999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.109999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.119999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.129999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.139999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.149999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.159999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.169999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.179999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.189999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.199999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.209999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.219999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.229999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.239999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.249999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.259999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.269999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.279999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.289999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.299999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.309999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.319999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.329999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.339999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.349999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.359999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.369999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.379999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
